Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.06215348750505E-18,-0.00141371227400464,0.005,0,0,0,0.0303722995490468,3.74394993207704E-06,5.22892149655099E-22,-5.11178856466256E-23,2.1695222378973E-05,-4.36643847959883E-23,2.49329673185659E-05,0,0,0,0,0,0,package://bassie.SLDASM/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bassie.SLDASM/meshes/base_link.STL,,pelvis-1/pelvis_frame-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_hip_roll,0,-0.0110100876761759,-0.0109899123238241,0,0,0,0.0104219467105846,1.70463571115033E-06,5.25259688971173E-23,-2.89099624087283E-22,1.38650049834199E-06,-3.73929543448507E-07,1.386500498342E-06,0,0,0,0,0,0,package://bassie.SLDASM/meshes/right_hip_roll.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bassie.SLDASM/meshes/right_hip_roll.STL,,hip_joint-1,Origin_right_hip_roll2,Axis_right_hip_roll2,right_hip_roll,continuous,-0.0398271658880066,0,-0.00930710361371741,1.5707963267949,-0.00503265783860925,0,base_link,0,0,1,,,,,,,,,,,,
right_hip_pitch,6.93889390390723E-18,-0.0110100876761759,-0.010989051191167,0,0,0,0.0104219467105846,1.70463571115033E-06,-2.24993126614424E-22,-7.03049353571691E-23,1.38650049834199E-06,-3.73929543448508E-07,1.386500498342E-06,0,0,0,0,0,0,package://bassie.SLDASM/meshes/right_hip_pitch.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bassie.SLDASM/meshes/right_hip_pitch.STL,,hip_joint-2,Origin_right_hip_pitch2,Axis_right_hip_pitch2,right_hip_pitch,continuous,0,-0.0220008611326573,-0.0219999999999999,-1.57079632679503,-1.49330843492653,0,right_hip_roll,0,0,1,,,,,,,,,,,,
right_hip_yaw,-0.00592586158781309,-0.0525800795674847,0.0617044572537044,0,0,0,0.107018899099017,0.00059179926724669,1.59874782272844E-08,-1.27083232085646E-08,0.000308153017538767,0.000258492128476062,0.000284954745396214,0,0,0,0,0,0,package://bassie.SLDASM/meshes/right_hip_yaw.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bassie.SLDASM/meshes/right_hip_yaw.STL,,upper_leg-2,Origin_right_hip_yaw2,Axis_right_hip_yaw2,right_hip_yaw,continuous,0,-0.0210679578739459,-0.0219991388673428,1.47617469063059,0,1.5707963267949,right_hip_pitch,1,0,0,,,,,,,,,,,,
right_knee,-0.00593203882801992,-0.0846027700738239,0.0016889266790939,0,0,0,0.0744483035148738,0.000164659952023344,-9.58736218068259E-12,1.54854982139298E-11,1.77016919953597E-05,-3.96686437308627E-06,0.000148199064802319,0,0,0,0,0,0,package://bassie.SLDASM/meshes/right_knee.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bassie.SLDASM/meshes/right_knee.STL,,lower_leg-1,Origin_right_knee2,Axis_right_knee2,right_knee,continuous,0,-0.14142135623731,0.141421356237308,0.177493987253612,0,0,right_hip_yaw,1,0,0,,,,,,,,,,,,
right_foot,-0.00593204212605349,-0.0117377956787896,0.00934592910539235,0,0,0,0.0141163998019807,9.24279911044944E-06,-9.92616735063633E-23,-7.37845106397301E-21,8.95233915878566E-06,1.01243243186786E-07,5.25733281696791E-07,0,0,0,0,0,0,package://bassie.SLDASM/meshes/right_foot.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bassie.SLDASM/meshes/right_foot.STL,,foot-1,Origin_right_foot2,Axis_right_foot2,right_foot,continuous,0,-0.18,0,-0.170825167775941,0,0,right_knee,1,0,0,,,,,,,,,,,,
left_hip_roll,0,-0.0110100876761759,-0.0109899123238242,0,0,0,0.0104219467105846,1.70463571115033E-06,0,-2.77932685817817E-22,1.38650049834199E-06,-3.73929543448508E-07,1.386500498342E-06,0,0,0,0,0,0,package://bassie.SLDASM/meshes/left_hip_roll.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bassie.SLDASM/meshes/left_hip_roll.STL,,hip_joint-3,Origin_left_hip_roll2,Axis_left_hip_roll2,left_hip_roll,continuous,0.0398271658880066,0,-0.00930710361371742,1.5707963267949,0.214726254431021,0,base_link,0,0,1,,,,,,,,,,,,
left_hip_pitch,-7.97972798949331E-17,-0.0110100876761759,-0.0181479737789445,0,0,0,0.0104219467105846,1.70463571115033E-06,-2.42529355600548E-21,-3.0205519128665E-21,1.38650049834199E-06,-3.73929543448507E-07,1.386500498342E-06,0,0,0,0,0,0,package://bassie.SLDASM/meshes/left_hip_pitch.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bassie.SLDASM/meshes/left_hip_pitch.STL,,hip_joint-4,Origin_left_hip_pitch2,Axis_left_hip_pitch2,left_hip_pitch,continuous,0,-0.0148419385448798,-0.022,-1.57079632679543,1.55465607457052,0,left_hip_roll,0,0,1,,,,,,,,,,,,
left_hip_yaw,0.0270060679744188,-0.0525803388745518,0.0617026960608309,0,0,0,0.107025089754586,0.000591796865195477,1.5920156627715E-08,-1.26043704051829E-08,0.000308150575837964,0.000258490289488377,0.000284954790951833,0,0,0,0,0,0,package://bassie.SLDASM/meshes/left_hip_yaw.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bassie.SLDASM/meshes/left_hip_yaw.STL,,upper_leg-3,Origin_left_hip_yaw2,Axis_left_hip_yaw2,left_hip_yaw,continuous,0,0,-0.0291580614551205,1.4219328867289,0,-1.5707963267949,left_hip_pitch,1,0,0,,,,,,,,,,,,
left_knee,0.00558876235892673,-0.0846027767105478,0.00168890999630866,0,0,0,0.0744483691081149,0.000164660118846728,-2.22688915338526E-11,1.73008555308805E-11,1.77017181832273E-05,-3.96685985927357E-06,0.000148199206110422,0,0,0,0,0,0,package://bassie.SLDASM/meshes/left_knee.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bassie.SLDASM/meshes/left_knee.STL,,lower_leg-2,Origin_left_knee2,Axis_left_knee2,left_knee,continuous,0.0214112408562416,-0.141421356237311,0.141421356237309,0.161421391587217,0,0,left_hip_yaw,1,0,0,,,,,,,,,,,,
