Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
pelvis,-8.71510553850297E-19,-0.005,-0.00141371227400464,0,0,0,0.0303722995490468,3.74394993207704E-06,5.11178856466256E-23,7.80799469685778E-22,2.49329673185659E-05,-1.54583766458099E-22,2.1695222378973E-05,0,0,0,0,0,0,package://bassie.SLDASM/meshes/pelvis.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bassie.SLDASM/meshes/pelvis.STL,,pelvis-1/pelvis_frame-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_hip_a,0,-0.0110100876761759,-0.0109899123238241,0,0,0,0.0104219467105846,1.70463571115033E-06,-3.68095372586097E-23,-2.34505703658783E-22,1.38650049834199E-06,-3.73929543448507E-07,1.386500498342E-06,0,0,0,0,0,0,package://bassie.SLDASM/meshes/right_hip_a.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bassie.SLDASM/meshes/right_hip_a.STL,,hip_joint-1,Origin_right_hip_roll,Axis_right_hip_roll,right_hip_roll,revolute,-0.0398271658880066,0,-0.00930710361371741,1.5707963267949,-0.00503265783860925,0,pelvis,0,0,1,100,100,-1,1,,,,,,,,
right_hip_b,6.93889390390723E-18,-0.0110100876761759,-0.010989051191167,0,0,0,0.0104219467105846,1.70463571115033E-06,-1.45583787809333E-22,-9.53271488868967E-23,1.38650049834199E-06,-3.73929543448507E-07,1.386500498342E-06,0,0,0,0,0,0,package://bassie.SLDASM/meshes/right_hip_b.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bassie.SLDASM/meshes/right_hip_b.STL,,hip_joint-2,Origin_right_hip_pitch,Axis_right_hip_pitch,right_hip_pitch,revolute,0,-0.0220008611326573,-0.0219999999999999,-1.57079632679503,-1.49330843492653,0,right_hip_a,0,0,1,100,100,-1,1,,,,,,,,
right_upper_leg,-0.00592586158781309,-0.0525800795674847,0.0617044572537044,0,0,0,0.107018899099017,0.00059179926724669,1.59874782272895E-08,-1.27083232085629E-08,0.000308153017538767,0.000258492128476062,0.000284954745396214,0,0,0,0,0,0,package://bassie.SLDASM/meshes/right_upper_leg.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bassie.SLDASM/meshes/right_upper_leg.STL,,upper_leg-2,Origin_right_hip_yaw,Axis_right_hip_yaw,right_hip_yaw,revolute,0,-0.0210679578739459,-0.0219991388673428,1.47617469063059,0,1.5707963267949,right_hip_b,1,0,0,100,100,-2,2,,,,,,,,
right_lower_leg,-0.00593203877881651,-0.084602786670183,0.00168892856089956,0,0,0,0.0744483044847864,0.000164660010918706,-4.61372645241211E-12,1.49207452474512E-11,1.77016873193822E-05,-3.96688103484342E-06,0.000148199128403157,0,0,0,0,0,0,package://bassie.SLDASM/meshes/right_lower_leg.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bassie.SLDASM/meshes/right_lower_leg.STL,,lower_leg-1,Origin_right_knee,Axis_right_knee,right_knee,revolute,0,-0.14142135623731,0.141421356237308,0.177493987253612,0,0,right_upper_leg,1,0,0,100,100,-2,2,,,,,,,,
right_foot,-0.00593204212605349,-0.0117377956787896,0.00934592910539234,0,0,0,0.0141163998019807,9.24279911044944E-06,-1.02570395956575E-22,-7.53396101913298E-21,8.95233915878566E-06,1.01243243186786E-07,5.25733281696791E-07,0,0,0,0,0,0,package://bassie.SLDASM/meshes/right_foot.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bassie.SLDASM/meshes/right_foot.STL,,foot-1,Origin_right_ankle,Axis_right_ankle,right_ankle,revolute,0,-0.18,0,-0.17083,0,0,right_lower_leg,1,0,0,100,100,-2,2,,,,,,,,
left_hip_a,-6.93889390390723E-17,-0.0110100876761757,-0.0109899123238245,0,0,0,0.0104219467105846,1.70463571115033E-06,-2.90505831128623E-21,-2.52124650706163E-21,1.386500498342E-06,-3.73929543448508E-07,1.386500498342E-06,0,0,0,0,0,0,package://bassie.SLDASM/meshes/left_hip_a.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bassie.SLDASM/meshes/left_hip_a.STL,,hip_joint-3,Origin_left_hip_roll,Axis_left_hip_roll,left_hip_roll,revolute,0.0398271658880066,0,-0.0093071036137174,1.5707963267949,0.0363921544175496,0,pelvis,0,0,1,100,100,-1,1,,,,,,,,
left_hip_b,4.5102810375397E-17,-0.0110100876761759,-0.012256176562566,0,0,0,0.0104219467105846,1.70463571115033E-06,-2.94476298068878E-22,-4.40212329912787E-22,1.386500498342E-06,-3.73929543448508E-07,1.386500498342E-06,0,0,0,0,0,0,package://bassie.SLDASM/meshes/left_hip_b.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bassie.SLDASM/meshes/left_hip_b.STL,,hip_joint-4,Origin_left_hip_pitch,Axis_left_hip_pitch,left_hip_pitch,revolute,0,-0.020733735761258,-0.0220000000000004,-1.57079632679482,1.53550175224418,0,left_hip_a,0,0,1,100,100,-1,1,,,,,,,,
left_upper_leg,0.00992113926367044,-0.052576667884697,0.0616946676041554,0,0,0,0.107042315965997,0.000591805368935049,1.62243521030409E-08,-1.28844984492373E-08,0.000308162853350037,0.000258499935393855,0.000284951019517356,0,0,0,0,0,0,package://bassie.SLDASM/meshes/left_upper_leg.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bassie.SLDASM/meshes/left_upper_leg.STL,,upper_leg-3,Origin_left_hip_yaw,Axis_left_hip_yaw,left_hip_yaw,revolute,0,-0.0170842012602752,-0.0232662642387418,2.39179817705173,0,-1.5707963267949,left_hip_b,1,0,0,100,100,-2,2,,,,,,,,
left_lower_leg,0.00991580198399055,-0.0846028137555248,0.00168890478392084,0,0,0,0.0744483650191621,0.000164651177342366,-1.45541977598533E-11,1.67295198779219E-11,1.77024289130364E-05,-3.96427641840745E-06,0.000148189551457772,0,0,0,0,0,0,package://bassie.SLDASM/meshes/left_lower_leg.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bassie.SLDASM/meshes/left_lower_leg.STL,,lower_leg-2,Origin_left_knee,Axis_left_knee,left_knee,revolute,0,-0.14142,0.14142,-0.86226,0,0,left_upper_leg,1,0,0,100,100,-2,2,,,,,,,,
